"ident","iata_code","name","municipality","iso_country","iso_region"
"57IS","","Dozier Airport","Fairfield","US","US-IL"
"57KS","","Get Away Runway","Emmett","US","US-KS"
"57KY","","Belcher Regional Airport","Belcher","US","US-KY"
"57LS","","Prairie Creek Airport","Leesville","US","US-LA"
"57ME","","Dyer's Landing Airport","Fryeburg","US","US-ME"
"57MT","","Flying K Field","Hamilton","US","US-MT"
"57NC","","Sossamon Field (Unused)","Bryson City","US","US-NC"
"57ND","","Odegaard Airport","Kindred","US","US-ND"
"57NE","","Cole Memorial Airport","Merriman","US","US-NE"
"57NM","","Monte Prieto Ranch Airport","Claunch","US","US-NM"
"57OI","","Logan's Chance Airport","Lawrenceville","US","US-OH"
"57TE","","Prade Ranch Airport","Leakey","US","US-TX"
"57XA","","Ausmus Airport","New Braunfels","US","US-TX"
"58AK","","Fairview East Airport","Wasilla","US","US-AK"
"58AR","","Sugar Creek Airport","Bentonville","US","US-AR"
"58AZ","","Chapman Ranch Airstrip","Young","US","US-AZ"
"58C","","Jana Airport","Edgerton","US","US-WI"
"58CL","","Borrego Air Ranch Airport","Borrego Springs","US","US-CA"
"58FD","","Southerly Airport","Dundee","US","US-FL"
"58II","","Eagles Nest Airport","Boggstown","US","US-IN"
"58IL","","Spangler Airport","Manteno","US","US-IL"
"58IN","","Hilltop Airport","Spencerville","US","US-IN"
"58J","","Huggins Memorial Airport","Timmonsville","US","US-SC"
"58KS","","Burger's Valley Airport","Salina","US","US-KS"
"58KY","","Willow Island Airpark","Finchville","US","US-KY"
"58LA","","Sydal Acres Airport","Jackson","US","US-LA"
"58MN","","Northwest Angle Airport","Warroad","US","US-MN"
"58MT","","Galt Ranch Airport","White Sulphur Springs","US","US-MT"
"58MU","","ArkMo Airport","Jane","US","US-MO"
"58N","","Reigle Field","Palmyra","US","US-PA"
"58NC","","Fox Haven Plantation Airport","Rutherfordton","US","US-NC"
"58NR","","Chase Field","Hookerton","US","US-NC"
"58OH","","Rattlesnake Island Airport","Put In Bay","US","US-OH"
"58OR","","Umpqua Airport","Roseburg","US","US-OR"
"58S","","Whitefish Airport","Whitefish","US","US-MT"
"58SC","","Cherry Grove Airport","Green Sea","US","US-SC"
"58TN","","STOL-It Farm Airport","Linden","US","US-TN"
"58TX","","Tailspin Estates Airport","Weatherford","US","US-TX"
"58VA","","Walnut Hill Airport","Calverton","US","US-VA"
"58WA","","Dye Seed Ranch Airport","Pomeroy","US","US-WA"
"58XS","","Mc Entire's Lazy V Ranch Airport","Sterling City","US","US-TX"
"59AK","","Penderosa Airport","Wasilla","US","US-AK"
"59AR","","Hodges Airport","Jonesboro","US","US-AR"
"59AS","","Becker Field","Battle Ground","US","US-WA"
"59AZ","","Robin STOLport","Chino Valley","US","US-AZ"
"59B","","Newton Field","Jackman","US","US-ME"
"59CN","","James Brothers Airport","Pleasant Grove","US","US-CA"
"59FD","","Big Cypress Airfield","Immokalee","US","US-FL"
"59IA","","Bellevue Farms Airport","Williamsburg","US","US-IA"
"59II","","Posey Patch Ultralightport","Mount Vernon","US","US-IN"
"59IL","","Ruder Airport","Maple Park","US","US-IL"
"59KY","","Samuels Springs Airport","Deatsville","US","US-KY"
"59M","","Torchport Airport","Eastport","US","US-MI"
"59MN","","Cox-Coyour Memorial Field","Roosevelt","US","US-MN"
"59NC","","Mclean Brothers Airport","Gibsonville","US","US-NC"
"59NY","","Bent-Wing Airport","Lockport","US","US-NY"
"59OH","","Kelch Airport","Bethel","US","US-OH"
"59TS","","Rossler Ranch Airport","George West","US","US-TX"
"59TX","","Benjamin Franklin Airport","Godley","US","US-TX"
"59WA","","Sorrell Airport","Tenino","US","US-WA"
"59WI","","Little Wheel Field","Cottage Grove","US","US-WI"
"5A2","","Warner Robins Air Park","Warner Robins","US","US-GA"
"5A5","","Silver Wings Field","Eureka Springs","US","US-AR"
