"ident","iata_code","name","municipality","iso_country","iso_region"
"SBTC","UNA","Una-Comandatuba Airport","Una","BR","BR-BA"
"SBTD","TOW","Toledo - Luiz Dalcanale Filho Municipal Airport","Toledo","BR","BR-PR"
"SBTE","THE","Senador Petrônio Portela Airport","Teresina","BR","BR-PI"
"SBTF","TFF","Tefé Airport","Tefé","BR","BR-AM"
"SBTG","TJL","Plínio Alarcom Airport","Três Lagoas","BR","BR-MS"
"SBTK","TRQ","Tarauacá Airport","Tarauacá","BR","BR-AC"
"SBTL","TEC","Telêmaco Borba Airport","Telêmaco Borba","BR","BR-PR"
"SBTR","TSQ","Torres Airport","Torres","BR","BR-RS"
"SBTS","","Tiriós Airport","Aldeia Tiriós","BR","BR-PA"
"SBTT","TBT","Tabatinga International Airport","Tabatinga","BR","BR-AM"
"SBTU","TUR","Tucuruí Airport","Tucuruí","BR","BR-PA"
"SBTV","","Terravista Airport","Porto Seguro","BR","BR-BA"
"SBUA","SJL","São Gabriel da Cachoeira Airport","São Gabriel da Cachoeira","BR","BR-AM"
"SBUF","PAV","Paulo Afonso Airport","Paulo Afonso","BR","BR-BA"
"SBUG","URG","Rubem Berta Airport","Uruguaiana","BR","BR-RS"
"SBUL","UDI","Ten. Cel. Aviador César Bombonato Airport","Uberlândia","BR","BR-MG"
"SBUR","UBA","Mário de Almeida Franco Airport","Uberaba","BR","BR-MG"
"SBUY","RPU","Urucu Airport","Urucu","BR","BR-AM"
"SBVG","VAG","Major Brigadeiro Trompowsky Airport","Varginha","BR","BR-MG"
"SBVH","BVH","Brigadeiro Camarão Airport","Vilhena","BR","BR-RO"
"SBVT","VIX","Eurico de Aguiar Salles International Airport","Vitória","BR","BR-ES"
"SBYA","","Iauaretê Airport","São Gabriel da Cachoeira","BR","BR-AM"
"SBYS","QPS","Campo Fontenelle","Pirassununga","BR","BR-SP"
"SBZM","IZA","Presidente Itamar Franco Airport","Juiz de Fora","BR","BR-MG"
"SC00","","Triple Tree Airport","Woodruff","US","US-SC"
"SC03","","Mc Neil Airport","Cameron","US","US-SC"
"SC06","","Pluff Mud Field","Johns Island","US","US-SC"
"SC07","","Alan's Airport","Orangeburg","US","US-SC"
"SC12","","Davis Airport","Garnett","US","US-SC"
"SC13","","Darden Airport","Gaston","US","US-SC"
"SC14","","Shealy Airport","Gilbert","US","US-SC"
"SC15","","Airy Hall Airport","Green Pond","US","US-SC"
"SC16","","Curry Airport","Hartsville","US","US-SC"
"SC17","","Russell Airport","Holly Hill","US","US-SC"
"SC19","","Lamar Airport","Lamar","US","US-SC"
"SC1A","","Canchones West Airport","Canchones","CL","CL-TA"
"SC20","","Harman Airport","Langley","US","US-SC"
"SC21","","Myrtle Beach Hardee Airpark","Loris","US","US-SC"
"SC23","","Eagles Nest-Fairview Airpark","Leesville","US","US-SC"
"SC24","","Eagle Ridge Airport","Seneca","US","US-SC"
"SC26","","Hawks Nest Farm Airport","West Union","US","US-SC"
"SC27","","Tallon Field","Lynchburg","US","US-SC"
"SC29","","Mc Kay Airport","Timmonsville","US","US-SC"
"SC34","","Iva Field","Iva","US","US-SC"
"SC35","","Ehrhardt Airport","Ehrhardt","US","US-SC"
"SC37","","Crosswinds-Wilson Private Airport","Cross","US","US-SC"
"SC38","","Pocotaligo Airport","Manning","US","US-SC"
"SC39","","Green Pond Airport","Woodruff","US","US-SC"
"SC40","","Pearson's Farm Airport","Spartanburg","US","US-SC"
"SC41","","Palmetto Air Plantation Airport","Manning","US","US-SC"
"SC42","","Hondarosa Airport","Wadmalaw Island","US","US-SC"
"SC43","","Moores Field","Williamston","US","US-SC"
"SC44","","El Porvenir Airpark","Boykin","US","US-SC"
"SC45","","Gilbert International Airpark","Gilbert","US","US-SC"
"SC46","","House Movers Field","Batesburg","US","US-SC"
"SC47","","Parker Field","Simpsonville","US","US-SC"
"SC48","","Byrd Field","Turbeville","US","US-SC"
"SC51","","Too Goo Doo Farms Airport","Meggett","US","US-SC"
"SC55","","Broxton Bridge Plantation Airport","Ehrhardt","US","US-SC"
"SC56","","Thomason Airfield","Mountville","US","US-SC"
"SC60","","Cockfield Aerodrome","Scranton","US","US-SC"
"SC61","","Wild Irish Rose Airport","Cheraw","US","US-SC"
"SC65","","Raven's Run Airport","Mount Pleasant","US","US-SC"
"SC67","","Falls Landing","Rock Hill","US","US-SC"
"SC69","","Shiloh Plantation Airport","Ehrhardt","US","US-SC"
"SC72","","Chandelle Airport","Greer","US","US-SC"
"SC74","","Marsh Point Airport","Beaufort","US","US-SC"
"SC75","","Oolenoy Valley Airport","Pickens","US","US-SC"
"SC76","","Unity Aerodrome","Lancaster","US","US-SC"
"SC78","","King Field","Cleveland","US","US-SC"
"SC79","","Bermuda High Gliderport","Lancaster","US","US-SC"
"SC81","","Abbeville Airport","Abbeville","US","US-SC"
"SC82","","Oakhill Airpark","Williamson","US","US-SC"
"SC86","","Williamsport Airpark","Easley","US","US-SC"
"SC87","","Avinger Field","Vance","US","US-SC"
"SC88","","Turner Field","Chesnee","US","US-SC"
"SC89","","Price Airport","Dillon","US","US-SC"
"SC90","","Do-Little Field","Orangeburg","US","US-SC"
"SC91","","Bell's Branch Airport","Branchville","US","US-SC"
"SC92","","Rambos Field","Abbeville","US","US-SC"
"SC94","","Weaver Field","Johnsonville","US","US-SC"
"SC95","","Perry International Airport","Perry","US","US-SC"
"SC96","","Tokeena Air Park","Seneca","US","US-SC"
"SC97","","Riverbend Airpark","Mauldin","US","US-SC"
"SC98","","Mount Holly Airport","Goose Creek","US","US-SC"
"SC99","","Whiteplains Airport","Lexington","US","US-SC"
"SCAB","","El Alba Airport","La Lumbrera","CL","CL-RM"
"SCAC","ZUD","Pupelde Airport","Ancud","CL","CL-LL"
"SCAD","","Santa Adriana Airport","Ovalle","CL","CL-CO"
"SCAE","","El Buitre Airport","Arica","CL","CL-AP"
"SCAG","","Agua Santa Airport","Palmilla","CL","CL-LI"
"SCAH","","Tolquien Airport","Achao","CL","CL-LL"
"SCAI","","Curacautín Airport","Curacautín","CL","CL-AR"
"SCAJ","","Las Alpacas Airport","Retiro","CL","CL-ML"
"SCAK","","Atacalco Airport","Recinto","CL","CL-NB"
"SCAL","","Valchac Airport","Cochrane","CL","CL-AI"
"SCAM","","Alempue Airport","Teno","CL","CL-ML"
"SCAN","LOB","San Rafael Airport","Los Andes","CL","CL-VS"
"SCAO","","Palo Alto Airport","Lolol","CL","CL-LI"
"SCAP","WAP","Alto Palena Airport","Palena","CL","CL-LL"
"SCAQ","","Arquilhué Airport","Lago Ranco","CL","CL-LR"
"SCAR","ARI","Chacalluta International Airport","Arica","CL","CL-AP"
"SCAS","WPA","Cabo Juan Román Airfield","Puerto Aysén","CL","CL-AI"
"SCAT","CPO","Desierto de Atacama Airport","Copiapo","CL","CL-AT"
"SCAU","","Juan Enrique Airport","Paine","CL","CL-RM"
"SCAY","","Ayacara Airport","Ayacara","CL","CL-LL"
"SCAZ","","Azopardo Airport","Timaukel","CL","CL-MA"
"SCBA","BBA","Balmaceda Airport","Balmaceda","CL","CL-AI"
"SCBB","","Del Bío Bío Airport","Negrete","CL","CL-BI"
"SCBC","","Cacique Blanco Airport","Lago Verde","CL","CL-AI"
"SCBD","","El Boldal Airport","Santa Cruz","CL","CL-LI"
"SCBE","TOQ","Barriles Airport","Tocopilla","CL","CL-AN"
"SCBI","DPB","Pampa Guanaco Airport","Bahia Inutil","CL","CL-MA"
"SCBL","","El Porvenir Airport","Casablanca","CL","CL-VS"
"SCBN","","Cotreumo Airport","Rio Bueno","CL","CL-LR"
"SCBO","","General Bernardo O'Higgins Base Skyway","General Bernardo O'Higgins Base","AQ","AQ-U-A"
"SCBQ","","El Bosque Airport","Santiago","CL","CL-RM"
"SCBR","","Lago Brown Airport","Lago Brown","CL","CL-AI"
"SCBS","","Posesión Airport","Bahia Posesion","CL","CL-MA"
"SCBT","","Rincón Bonito Airport","Cochamo","CL","CL-LL"
"SCBU","","El Baúl Airstrip","Molina","CL","CL-ML"
"SCBV","","Bellavista Airport","Rio Claro","CL","CL-ML"
"SCCA","","El Boldo Airport","Cauquenes","CL","CL-ML"
"SCCB","","Pedro Villarroel C. Airport","Combarbala","CL","CL-CO"
"SCCC","CCH","Chile Chico Airport","Chile Chico","CL","CL-AI"
"SCCE","","El Arenal Airport","Cauquenes","CL","CL-ML"
"SCCF","CJC","El Loa Airport","Calama","CL","CL-AN"
"SCCG","","La Pelícana Airport","Combarbala","CL","CL-CO"
"SCCH","YAI","Gral. Bernardo O´Higgins Airport","Chillan","CL","CL-NB"
"SCCI","PUQ","President Carlos Ibáñez International Airport","Punta Arenas","CL","CL-MA"
"SCCK","","Contao Airport","Contao","CL","CL-LL"
"SCCL","","Caldera Airport","Caldera","CL","CL-AT"
"SCCM","","Molco Airport","Choshuenco","CL","CL-LR"
"SCCN","","Alto Cauquenes Airport","Cauquenes","CL","CL-ML"
"SCCQ","COW","Tambillos Airport","Coquimbo","CL","CL-CO"
"SCCR","","Enrique Mayer Soto Airport","Caleta Tortel","CL","CL-AI"
"SCCS","","Santa Rita Airport","Casablanca","CL","CL-VS"
"SCCT","","Quivolgo Airport","Constitucion","CL","CL-ML"
"SCCU","","Lolco Airport","Lonquimay","CL","CL-AR"
"SCCV","","Curacaví Airport","Curacaví","CL","CL-RM"
"SCCY","GXQ","Teniente Vidal Airport","Coyhaique","CL","CL-AI"
"SCDA","IQQ","Diego Aracena International Airport","Iquique","CL","CL-TA"
"SCDD","","Don Dobri Airport","Puerto Varas","CL","CL-LL"
"SCDG","","Don Aliro Garcia Airport","La Estrella","CL","CL-LI"
"SCDH","","Vodudahue Airport","Chaiten","CL","CL-LL"
"SCDI","","Pichidangui Airport","Pichidangui","CL","CL-CO"
"SCDK","","El Patagual Airport","Concepcion","CL","CL-BI"
"SCDL","","El Algarrobo Airport","Cabildo","CL","CL-VS"
"SCDM","","San Damian Airport","Duao","CL","CL-ML"
"SCDQ","","San Lorenzo Airport","Duqueco","CL","CL-BI"
"SCDS","","San Andrés Airport","Retiro","CL","CL-ML"
"SCDW","","Almirante Schroeders Airport","Isla Dawson","CL","CL-MA"
"SCEA","","El Amarillo Airport","Chaiten","CL","CL-LL"
"SCEB","","Entrada Baker Airport","Entrada Baker","CL","CL-AI"
"SCEC","","Pelícano Airport","Estacion Chañaral","CL","CL-CO"
"SCED","","Los Cedros Airport","Sagrada Familia","CL","CL-ML"
"SCEG","","El Corte Airport","Talagante","CL","CL-RM"
"SCEH","","El Huachi Airport","Santa Barbara","CL","CL-BI"
"SCEI","","Potrerillos Airport","Diego de Almagro","CL","CL-AT"
"SCEK","","Chépica Airport","Chepica","CL","CL-LI"
"SCEL","SCL","Comodoro Arturo Merino Benítez International Airport","Santiago","CL","CL-RM"
"SCEO","","El Salto Airport","Parral","CL","CL-ML"
"SCEP","","El Principal Airport","Pirque","CL","CL-RM"
"SCER","","Quintero Airport","Quintero","CL","CL-VS"
"SCES","ESR","Ricardo García Posada Airport","El Salvador","CL","CL-AT"
"SCET","","El Tambo Airport","San Vicente De Tagua Tagua","CL","CL-LI"
"SCEV","FRT","El Avellano Airport","Frutillar","CL","CL-LL"
"SCEX","","Río Exploradores Airport","Aysén","CL","CL-AI"
"SCEY","","Entrada Mayer Airport","Entrada Mayer","CL","CL-AI"
"SCFA","ANF","Andrés Sabella Gálvez International Airport","Antofagasta","CL","CL-AN"
"SCFC","","Fachinal Airport","Fachinal","CL","CL-AI"
"SCFF","","Freirina Airport","Freirina","CL","CL-AT"
"SCFI","","Fundo Tehuén Airport","Frutillar","CL","CL-LL"
"SCFJ","","Fray Jorge Airport","Ovalle","CL","CL-CO"
"SCFK","","Fundo El Carmen Airport","Chillan","CL","CL-NB"
"SCFL","","Fundo Loma Larga Airport","Casablanca","CL","CL-VS"
"SCFM","WPR","Captain Fuentes Martinez Airport","Porvenir","CL","CL-MA"
"SCFN","","Russfin Airport","Timaukel","CL","CL-MA"
"SCFO","","La Reforma Airport","Pelarco","CL","CL-ML"
"SCFR","","Frutillar Airport","Frutillar","CL","CL-LL"
"SCFS","","Los Calafates Airport","Chonchi","CL","CL-LL"
"SCFT","FFU","Futaleufú Airport","Futaleufu","CL","CL-LL"
"SCFU","","Loncopan Airport","Futrono","CL","CL-LR"
"SCFX","","Isla San Felix Airport","Isla San Felix","CL","CL-AT"
"SCGA","","Punta Galera Airport","La Union","CL","CL-LR"
"SCGB","","Guadaba Airport","Los Sauces","CL","CL-AR"
"SCGC","UGL","Union Glacier Blue-Ice Runway","Union Glacier","AQ","AQ-U-A"
"SCGE","LSQ","María Dolores Airport","Los Angeles","CL","CL-BI"
"SCGF","","Golfo Azul Airport","Futrono","CL","CL-LR"
"SCGH","","Cholguahue Airport","Los Angeles","CL","CL-BI"
"SCGI","","San Guillermo Airport","Retiro","CL","CL-ML"
"SCGL","","Las Aguilas Airport","Rapel","CL","CL-LI"
"SCGM","","Los Gomeros Airport","Rengo","CL","CL-LI"
"SCGN","","Caleta Gonzalo Airport","Chaiten","CL","CL-LL"
"SCGO","","Los Confines Airport","Angol","CL","CL-AR"
"SCGS","","Siberia Airport","Cholguan","CL","CL-BI"
"SCGU","","Aguas Blancas Airport","Antofagasta","CL","CL-AN"
"SCGV","","Punta Gaviota Airport","Caleta Chañaral De Aceituno","CL","CL-AT"
"SCGY","","Los Guayes Airport","Cunco","CL","CL-AR"
"SCGZ","WPU","Guardia Marina Zañartu Airport","Puerto Williams","CL","CL-MA"
"SCHA","","Chamonate Airport","Copiapo","CL","CL-AT"
"SCHC","","Chicureo Airport","Santiago","CL","CL-RM"
"SCHD","","Chumilden Airport","Chaiten","CL","CL-LL"
"SCHE","","Rucamanqui Airport","Huepil","CL","CL-BI"
"SCHG","","Almahue Airport","Pichidegua","CL","CL-LI"
"SCHH","","Punta Baja Airport","Chile Chico","CL","CL-AI"
"SCHK","","Hueicolla Airport","La Union","CL","CL-LR"
"SCHL","","Hacienda Lipangue Airport","Lampa","CL","CL-RM"
"SCHM","","Punta El Saco Airport","Isla Mocha","CL","CL-BI"
"SCHN","","Chan Chan Airport","Choshuenco","CL","CL-LR"
"SCHO","","Punta Chungo Airport","Los Vilos","CL","CL-CO"
"SCHP","","Copihue Airport","Retiro","CL","CL-ML"
"SCHR","LGR","Cochrane Airport","Cochrane","CL","CL-AI"
"SCHT","","Tic Toc Airport","Chaiten","CL","CL-LL"
"SCHU","","Gran Cañon Airport","Huasco","CL","CL-AT"
"SCHW","","Hualaihué Airport","Hualaihue","CL","CL-LL"
"SCIA","","Isla Apiao Airport","Isla Apiao","CL","CL-LL"
"SCIB","","Butachauques Airport","Isla Butachauques","CL","CL-LL"
"SCIC","","General Freire Airport","Curico","CL","CL-ML"
"SCID","","Marco Davison Bascur Airport","Punta Arenas","CL","CL-MA"
"SCIE","CCP","Carriel Sur International Airport","Concepcion","CL","CL-BI"
"SCIF","","Chollinco Airport","Llifen","CL","CL-LR"
"SCIH","","Caleta Andrade Airport","Caleta Andrade","CL","CL-AI"
"SCII","","Puerto Ingeniero Ibañez Airport","Puerto Ingeniero Ibañez","CL","CL-AI"
"SCIK","","Isla Talcan Airport","Isla Talcan","CL","CL-LL"
"SCIL","","Aucó Airport","Illapel","CL","CL-CO"
"SCIM","","Isla Mocha Airport","Isla Mocha","CL","CL-BI"
"SCIN","","Mininco Airport","","CL","CL-AR"
"SCIO","","Laguna Redonda Airport","Villa O'Higgins","CL","CL-AI"
"SCIP","IPC","Mataveri International Airport","Isla De Pascua","CL","CL-VS"
"SCIR","","Robinson Crusoe Airport","Isla Robinson Crusoe","CL","CL-VS"
"SCIS","","Puerto Sur Airport","Isla Santa Maria","CL","CL-BI"
"SCIT","","Iván Martinez Airport","Isla Tierra Del Fuego","CL","CL-MA"
"SCJC","","James Conrad Airport","Ranguelmo","CL","CL-NB"
"SCJK","","Juan Kemp Airport","Osorno","CL","CL-LL"
"SCJO","ZOS","Cañal Bajo Carlos Hott Siebert Airport","Osorno","CL","CL-LL"
"SCJS","","José Abel Sepúlveda Aerodrome","","CL","CL-NB"
"SCJV","","El Parrón Airport","San Javier","CL","CL-ML"
"SCKA","","Santa Marta Airport","San Carlos","CL","CL-NB"
"SCKB","","Llollenorte Airport","Lago Caburga","CL","CL-AR"
"SCKC","","Roberto Chavéz Airport","Cunco","CL","CL-AR"
"SCKD","","El Cardal Airport","Rio Bueno","CL","CL-LR"
"SCKE","","Piedra Negra Airport","Pelluhue","CL","CL-ML"
"SCKI","","Los Lirios Airport","Curico","CL","CL-ML"
"SCKK","","La Cascada Airport","Molina","CL","CL-ML"
"SCKL","","Lipangui Airport","Lampa","CL","CL-RM"
"SCKM","","Cochamó Airport","Cochamo","CL","CL-LL"
"SCKN","","Licancel Airport","Licanten","CL","CL-ML"
"SCKO","","Agua Buena Airport","Collipulli","CL","CL-AR"
"SCKP","CPP","Coposa Airport","Pica","CL","CL-TA"
"SCKQ","","Curimanque Airport","Pucon","CL","CL-AR"
"SCKT","","Torreón Airport","Coelemu","CL","CL-NB"
"SCLA","","General Tovarías Airport","Lautaro","CL","CL-AR"
"SCLB","","Los Pehuenches Airport","Lebu","CL","CL-BI"
"SCLC","","Municipal de Vitacura Airport","Santiago","CL","CL-RM"
"SCLD","","Llanada Grande Airport","Llanada Grande","CL","CL-LL"
"SCLE","","La Escondida Airport","Antofagasta","CL","CL-AN"
"SCLF","","Calcurrupe Airport","Llifen","CL","CL-LR"
"SCLG","","La Aguada Airport","Pencahue","CL","CL-ML"
"SCLI","","Torca Airport","Llico","CL","CL-ML"
"SCLJ","","La Junta Airport","La Junta","CL","CL-AI"
"SCLK","","Lago Colico Airport","Cunco","CL","CL-AR"
"SCLL","VLR","Vallenar Airport","Vallenar","CL","CL-AT"
"SCLM","","Las Mercedes Airport","San Javier","CL","CL-ML"
"SCLN","ZLR","Municipal de Linares Airport","Linares","CL","CL-ML"
"SCLO","","Leones Airport","Chile Chico","CL","CL-AI"
"SCLP","","Los Petiles Airport","Molina","CL","CL-ML"
"SCLQ","","Diego Portales Airport","La Ligua","CL","CL-VS"
"SCLR","","Los Alerces Airport","Chaiten","CL","CL-LL"
"SCLS","","Esperanza Airport","Lautaro","CL","CL-AR"
"SCLT","","Topocalma Airport","Litueche","CL","CL-LI"
"SCLU","","La Laguna Airport","Marchigue","CL","CL-LI"
"SCLV","","La Viña Airport","Guangali","CL","CL-CO"
"SCLY","","La Playa Airport","Arauco","CL","CL-BI"
"SCMA","","Puerto Marín Balmaceda Airport","Puerto Marin Balmaceda","CL","CL-AI"
"SCME","","Los Cuatro Diablos Airport","Melipilla","CL","CL-RM"
"SCMF","","Malloco Airport","Villarrica","CL","CL-AR"
"SCMG","","Santa María de Mingre Airport","San Javier","CL","CL-ML"
"SCMH","","La Esperanza Airport","Marchigue","CL","CL-LI"
"SCMI","","Los Tricahues Airport","Mialqui","CL","CL-CO"
"SCMK","","Melinka Airport","Melinka","CL","CL-AI"
"SCML","","Melipeuco Airport","Melipeuco","CL","CL-AR"
"SCMO","","Los Monos Airport","Molina","CL","CL-ML"
"SCMP","","Melipilla Airport","Melipilla","CL","CL-RM"
"SCMR","","Las Aguilas Oriente Airport","Rapel","CL","CL-LI"
"SCMS","","Las Moras Airport","Longavi","CL","CL-ML"
"SCMU","","Panilonco Airport","Pichilemu","CL","CL-LI"
"SCMV","","Viña San Pedro Airport","Molina","CL","CL-ML"
"SCMY","","Carolina Airport","Michilla","CL","CL-AN"
"SCMZ","","Marina de Rapel Airport","El Manzano","CL","CL-LI"
"SCNA","","Fundo La Caña Airport","Linares","CL","CL-ML"
"SCND","","Ñadis Airport","Ñadis","CL","CL-AI"
"SCNH","","Ainhoa Airport","Vilcún","CL","CL-AR"
"SCNI","","Santa Eugenia Airport","San Nicolas","CL","CL-NB"
"SCNK","","Los Pelambres Airport","Cuncumen","CL","CL-CO"
"SCNL","","Villa Cerro Castillo Airport","Villa Cerro Castillo","CL","CL-AI"
"SCNM","","Las Misiones Airport","Cañete","CL","CL-BI"
"SCNO","","Ñochaco Airport","Ñochaco","CL","CL-LL"
"SCNP","","Nueva Pintacura Airport","","CL","CL-CO"
"SCNT","PNT","Lieutenant Julio Gallardo Airport","Puerto Natales","CL","CL-MA"
"SCNY","","Yendegaia Airport","Navarino","CL","CL-MA"
"SCOA","","Estancia Los Loros Airport","Ovalle","CL","CL-CO"
"SCOB","","Tabalí Bajo Airport","Ovalle","CL","CL-CO"
"SCOC","","Las Araucarias Airport","Puerto Octay","CL","CL-LL"
"SCOE","","San Miguel Airport","Romeral","CL","CL-ML"
"SCOH","","Villa O'Higgins Airport","Villa O'Higgins","CL","CL-AI"
"SCOI","","Los Coipos Airport","Hualanne","CL","CL-ML"
"SCOL","","Refugio del Lago Airport","Puyehue","CL","CL-LL"
"SCOM","","Olmué Airport","Olmué","CL","CL-VS"
"SCON","","Quellón Airport","Quellon","CL","CL-LL"
"SCOO","","Melimoyu Airport","Cisnes","CL","CL-AI"
"SCOP","","Pilauco Airport","Osorno","CL","CL-LL"
"SCOT","","Santa Rosa de Tabalí Airport","Ovalle","CL","CL-CO"
"SCOV","OVL","El Tuqui Airport","Ovalle","CL","CL-CO"
"SCOY","","Huayanay Airport","Ovalle","CL","CL-CO"
"SCPA","","Paranal Airport","Antofagasta","CL","CL-AN"
"SCPB","","Puelo Bajo Airport","Puelo Bajo","CL","CL-LL"
"SCPC","ZPC","Pucón Airport","Pucon","CL","CL-AR"
"SCPE","","San Pedro de Atacama Airport","San Pedro De Atacama","CL","CL-AN"
"SCPF","","Marcel Marchant Airport","Puerto Montt","CL","CL-LL"
"SCPG","","Municipal de Panguipulli Airport","Panguipulli","CL","CL-LR"
"SCPH","","Puyuhuapi Airport","Puyuhuapi","CL","CL-AI"
"SCPI","","Pullami Airport","Coihueco","CL","CL-NB"
"SCPK","","Puerto Cisnes Airport","Puerto Cisnes","CL","CL-AI"
"SCPL","","Calpulli Airport","Paillaco","CL","CL-LR"
"SCPM","","Pichilemu Airport","Pichilemu","CL","CL-LI"
"SCPN","","Pillán Airport","Chaiten","CL","CL-LL"
"SCPO","","Los Paltos Airport","Quinta de Tilcoco","CL","CL-LI"
"SCPP","","Poco a Poco Airport","Mulchen","CL","CL-BI"
"SCPQ","MHC","Mocopulli Airport","Dalcahue","CL","CL-LL"
"SCPR","","Corte Alto Airport","Purranque","CL","CL-LL"
"SCPS","","Perales Airport","Copiapo","CL","CL-AT"
"SCPT","","La Puerta Airport","Santa Cruz","CL","CL-LI"
"SCPU","","Peulla Airport","Peulla","CL","CL-LL"
"SCPV","PUX","El Mirador Airport","Puerto Varas","CL","CL-LL"
"SCPW","","Peumo Airport","Peumo","CL","CL-LI"
"SCPX","","Punta Catalina Airport","Punta Catalina","CL","CL-MA"
"SCPY","","Cerro Castillo Airport","Cerro Castillo","CL","CL-MA"
"SCPZ","","Patriot Hills Airport","Patriot Hills Base Camp","AQ","AQ-U-A"
"SCQC","","La Colmena Airport","Quino","CL","CL-AR"
"SCQE","","Quenac Airport","Isla Quenac","CL","CL-LL"
"SCQI","","Icalma Airport","Lonquimay","CL","CL-AR"
"SCQK","","Lequecahue Airport","Tirua","CL","CL-BI"
"SCQL","","El Boco Airport","Quillota","CL","CL-VS"
"SCQM","","Las Quemas Airport","Osorno","CL","CL-LL"
"SCQO","","Quitralco Airport","Aysén","CL","CL-AI"
"SCQP","ZCO","La Araucanía International Airport","Temuco","CL","CL-AR"
"SCQR","","Los Morros Airport","Cobquecura","CL","CL-NB"
"SCQT","","Las Tacas Airport","Quebrada Las Tacas","CL","CL-CO"
"SCQW","","Quemchi Airport","Quemchi","CL","CL-LL"
"SCQX","","Queilén Airport","Queilen","CL","CL-LL"
"SCQY","","Villa Portales Airport","Lonquimay","CL","CL-AR"
"SCRA","CNR","Chañaral Airport","Chañaral","CL","CL-AT"
"SCRB","","Río Bravo Airport","Tortel","CL","CL-AI"
"SCRC","","Villa Tapera Airport","Rio Cisnes","CL","CL-AI"
"SCRD","VAP","Rodelillo Airport","Viña Del Mar","CL","CL-VS"
"SCRE","","Estancia Río Cisnes Airport","Rio Cisnes","CL","CL-AI"
"SCRF","","Laguna San Rafael Airport","Laguna San Rafael","CL","CL-AI"
"SCRG","","La Independencia Airport","Rancagua","CL","CL-LI"
"SCRH","","Reñihúe Airport","Reñihue","CL","CL-LL"
"SCRI","","Río Frío Airport","Cochamó","CL","CL-LL"
"SCRL","","La Estrella Airport","Rapel","CL","CL-LI"
"SCRM","TNM","Teniente Rodolfo Marsh Martin Airport","Villa Las Estrellas","AQ","AQ-U-A"
"SCRN","","Río Negro Airport","Río Negro","CL","CL-LL"
"SCRO","","Santa Bárbara Airport","Romeral","CL","CL-ML"
"SCRP","","Rapelhuapi Airport","Rapel","CL","CL-LI"
"SCRQ","","Rucañanco Airport","Rio Bueno","CL","CL-LR"
"SCRR","","Purrahuín Airport","Rio Bueno","CL","CL-LR"
"SCRS","","El Rosario Airport","Cartagena","CL","CL-VS"
"SCRT","","El Almendro Airport","Retiro","CL","CL-ML"
"SCRU","","Río Murta Airport","Rio Murta","CL","CL-AI"
"SCRV","","La Verónica Airport","Vilcún","CL","CL-AR"
"SCRW","","Rucalonco Airport","Paredones","CL","CL-LI"
"SCRZ","","El Carrizal Airport","Marchigue","CL","CL-LI"
"SCSA","","Alberto Santos Dumont Airport","Til Til","CL","CL-RM"
"SCSB","SMB","Franco Bianco Airport","Cerro Sombrero","CL","CL-MA"
"SCSD","","San Fernando Airport","San Fernando","CL","CL-LI"
"SCSE","LSC","La Florida Airport","La Serena-Coquimbo","CL","CL-CO"
"SCSF","SSD","Víctor Lafón Airport","San Felipe","CL","CL-VS"
"SCSG","","San Gerónimo Airport","Algarrobo","CL","CL-VS"
"SCSH","","El Budi Airport","Teodoro Schmidt","CL","CL-AR"
"SCSI","","El Salar Airport","Salar De Atacama","CL","CL-AN"
"SCSJ","","San Javier Airport","San Javier","CL","CL-ML"
"SCSK","","Colorado Airport","San Clemente","CL","CL-ML"
"SCSM","","Minsal Airport","Salar De Atacama","CL","CL-AN"
"SCSN","","Santo Domingo Airport","Santo Domingo","CL","CL-VS"
"SCSO","","Costa del Sol Airport","Lago Rapel","CL","CL-LI"
"SCSP","","El Sobrante Airport","Petorca","CL","CL-VS"
"SCSQ","","Quilpe Airport","San Pablo","CL","CL-LL"
"SCSR","","Segundo Corral Alto Airport","Segundo Corral","CL","CL-LL"
"SCSS","","San Sebastián Airport","Porvenir","CL","CL-MA"
"SCST","WCA","Gamboa Airport","Castro","CL","CL-LL"
"SCSU","","Santa Lucía Airport","Freire","CL","CL-AR"
"SCSV","","Viñasutil Airport","Peralillo","CL","CL-LI"
"SCSZ","","Puerto Sanchéz Airport","Puerto Sanchez","CL","CL-AI"
"SCTA","","Santa Luisa Airport","Santa Barbara","CL","CL-BI"
"SCTB","","Eulogio Sánchez Airport","Santiago","CL","CL-RM"
"SCTC","PZS","Maquehue Airport","Temuco","CL","CL-AR"
"SCTE","PMC","El Tepual International Airport","Puerto Montt","CL","CL-LL"
"SCTG","","Tongoy Airport","Tongoy","CL","CL-CO"
"SCTH","","Tres Chorrillos Airport","San Gregorio","CL","CL-MA"
"SCTL","TLX","Panguilemo Airport","Talca","CL","CL-ML"
"SCTM","","La Montaña Airport","Curico","CL","CL-ML"
"SCTN","WCH","Nuevo Chaitén Airport","Chaitén","CL","CL-LL"
"SCTO","ZIC","Victoria Airport","Victoria","CL","CL-AR"
"SCTP","","Río Pascua Airport","Tortel","CL","CL-AI"
"SCTQ","","Tres Quebradas Airport","Alto Del Carmen","CL","CL-AT"
"SCTR","","Traiguén Airport","Traiguen","CL","CL-AR"
"SCTS","","Santa Teresa del Almendral Airport","Melipilla","CL","CL-RM"
